ID,appr_d_detour,appr_d_alone_time,appr_d_save,appr_r_detour,appr_r_alone_time,appr_r_save,cen_d_detour,cen_d_alone_time,cen_d_save,cen_r_detour,cen_r_alone_time,cen_r_save,exa_d_detour,exa_d_alone_time,exa_d_save,exa_r_detour,exa_r_alone_time,exa_r_save
1,0.09942086101829509,1680.833836858006,15.044064048338367,0.11475587756018121,1455.6517150395778,18.25122031662269,0.12036413466061115,1659.3101449275362,14.483135652173914,0.13679399058480676,1535.2524509803923,19.4307625,0.09902368191367729,1679.9486404833838,15.004828700906343,0.11502630277989948,1453.2724867724867,18.22527142857143
2,0.08430007888162998,1679.954356846473,8.025389626556018,0.0945314027126238,1413.1030534351146,11.68047824427481,0.0950293752866697,1662.0,7.156867460317461,0.1108985715999762,1532.886925795053,13.499089045936394,0.08430007888162998,1679.954356846473,8.025389626556018,0.0945314027126238,1413.1030534351146,11.68047824427481
3,0.10814553921541012,1627.0027397260274,14.35691917808219,0.10868718574151973,1392.3634146341462,17.361595609756098,0.12510199695615518,1603.5932642487046,13.553390155440413,0.12996987085536474,1456.8235294117646,18.50885972850679,0.10814553921541013,1627.0027397260274,14.35691917808219,0.10868718574151975,1392.3634146341462,17.361595609756098
4,0.09372940225031214,1633.5100286532952,15.570006303724929,0.12073405112968712,1450.6951501154736,18.43171247113164,0.11718460384039169,1620.2569832402235,14.563900558659219,0.1612213364872882,1571.604700854701,20.42468547008547,0.09459224862291617,1633.5100286532952,15.596706303724929,0.12039255282737645,1450.858468677494,18.375577030162415
5,0.10436626526092639,1654.3837209302326,15.366912790697675,0.10433601583768194,1454.1796116504854,18.37500501618123,0.1268371188184382,1630.7250922509224,14.567764575645757,0.13126998948098872,1518.485119047619,19.437638690476188,0.0,0.0,0.0,0.0,0.0,0.0
6,0.09130506479332719,1685.443418013857,16.624508083140878,0.12638894301344175,1511.3615916955018,19.29655813148789,0.1288122354953099,1670.6808988764044,15.596392359550562,0.17355885536333032,1595.6764705882354,20.7717,0.09137422000193234,1685.4318706697459,16.636705773672055,0.12882511429926022,1511.5431034482758,19.283903620689657
7,0.09711837837595823,1671.0901213171578,8.705157019064124,0.11083524063200703,1465.1524216524217,12.458228632478635,0.11010496047623457,1653.206375838926,8.460187751677852,0.1268976645299966,1515.7203728362183,13.10624620505992,0.09677786711838138,1672.4722222222222,8.715640972222223,0.11285750173393137,1466.4159544159545,12.465734615384616
8,0.09562387328504987,1676.1986863711002,8.816548932676518,0.09607971762131169,1473.0661157024792,12.418190633608814,0.1202297710566585,1657.2866141732284,8.282263307086614,0.11041965601214397,1539.3418693982073,13.245148655569784,0.09562745594713823,1677.9686985172982,8.870793574958814,0.09571047139863582,1473.5661157024792,12.421218319559229
9,0.0832704297928045,1619.5428571428572,16.46121333333333,0.08659520575762013,1418.3487031700288,18.25845446685879,0.097640666152076,1605.9574074074073,15.50704074074074,0.11191761707584358,1531.0189701897018,20.230963414634143,0.0,0.0,0.0,0.0,0.0,0.0
10,0.08399747142068666,1629.6760772659732,9.320497919762259,0.08358912283772271,1454.28453364817,12.596999173553721,0.09517724560595901,1604.1286713286713,8.995963356643356,0.09131262610725513,1507.1074197120709,13.203372203765227,0.08326460087911106,1629.3857566765578,9.315728486646885,0.08188396601875995,1455.2369668246445,12.60061078199052
