ID,num_users,num_riders,num_drivers,num_SR,num_RT,num_TR,num_matches,num_SR,num_RT,num_TR,num_1,num_2,num_3,Mr_ave,Mr_std,Md_ave,Md_std,Mu_ave,Mu_std,time_feasible,appr_obj,appr_time,appr_iter,appr_theta,appr_matches,appr_matched_r,appr_matched_d,appr_SR,appr_RT,appr_TR,appr_1,appr_2,appr_3,broken_ratio,broken,broken_r,broken_d,broken_min,broken_max,broken_ave,broken_std,r_min,r_max,r_ave,r_std,d_min,d_max,d_ave,d_std
1,1070,714,356,96,381,237,38097,3089,22207,12801,34278,3440,379,59.23669468,169.1599818,107.0140449,159.369394,75.13271028,167.4864903,0.0956,11994.4525,1.3702,149,1806,307,361,307,187,74,46,267,26,14,100,1806,445,353,0,36.4,3.43,5.52,0,36.4,3.63,6.23,0,17.64,3.18,4.46
2,1135,852,283,125,475,252,8620,1212,5897,1511,8391,229,0,10.38615023,39.40350364,30.45936396,46.52345746,15.39118943,42.19712824,0.0238,5344.263,0.107,50,632,234,258,234,136,61,37,210,24,0,100,632,301,265,0,18.38,1.5,2.83,0,18.38,1.52,3.11,0,12.4,1.47,2.46
3,1215,810,405,120,439,251,30248,2439,20145,7664,28754,1379,115,39.32962963,123.259252,74.68641975,115.9595414,51.11522634,122.018719,0.0654,12397.3602,0.5117,72,1568,345,394,345,203,92,50,300,41,4,100,1568,485,394,0,30.87,3.17,5.09,0,30.87,3.13,5.56,0,19.15,3.22,4.44
4,1451,1089,362,172,610,307,44194,3348,29876,10970,39683,4151,360,45.05509642,132.1519727,122.0828729,165.4343481,64.27222605,145.072651,0.1153,13870.3305,0.9556,111,1636,337,431,337,171,109,57,254,72,11,100,1636,573,362,0,44.37,3.67,6.06,0,44.37,4.19,6.92,0,20.17,2.86,4.24
5,1639,1093,546,146,627,320,75033,5105,53935,15993,64401,9162,1470,79.72095151,273.3275416,137.4230769,185.4291294,98.94325808,249.0270852,0.2005,19922.9724,4.2043,188,2875,496,612,496,305,134,57,396,84,16,100,2875,734,543,0,37.85,3.17,5.21,0,37.85,2.96,5.78,0,22.02,3.46,4.31
6,1782,1337,445,187,721,429,109028,7061,71530,30437,89659,17210,2159,97.64846672,329.4048676,245.0067416,328.4636247,134.4466891,335.2929322,0.3496,19214.5523,22.0891,534,3940,417,585,417,225,121,71,279,108,30,100,3940,871,445,0,45.22,5,6.84,0,45.22,5.35,7.52,0,30.44,4.32,5.19
7,1828,1219,609,178,666,375,62353,6184,42605,13564,55249,6235,869,57.69155045,158.7612528,102.3858785,128.8493368,72.58150985,150.9398181,0.2592,14332.8021,1.7677,113,2274,543,677,543,330,138,75,424,104,15,100,2274,791,606,0,29.82,2.3,3.7,0,29.82,1.94,3.79,0,18.61,2.76,3.52
8,1950,1300,650,171,727,402,67226,6293,43553,17380,57607,8925,694,59.64538462,203.9692275,103.4246154,108.7406145,74.23846154,179.1732497,0.2385,14999.9345,1.7944,90,2672,573,699,573,369,131,73,463,94,16,100,2672,898,647,0,29.03,2.92,4.22,0,29.03,2.66,4.42,0,18.25,3.27,3.9
9,2177,1633,544,237,909,487,77646,6629,55101,15916,65072,10974,1600,56.22780159,205.8934993,142.7316176,208.8559559,77.84382177,210.0042313,0.277,21911.5813,9.4881,304,3526,504,675,504,291,132,81,362,113,29,100,3526,1009,541,0,43.51,4.51,6.34,0,43.51,5,7.01,0,22.48,3.58,4.73
10,2228,1486,742,199,846,441,73574,7709,49550,16315,60565,10338,2671,60.06325707,171.0624626,99.15633423,124.646248,73.08258528,158.2109652,0.2545,17540.7692,8.5803,253,3668,630,812,630,423,141,66,483,112,35,100,3668,1004,739,0,27.27,2.9,4.13,0,27.27,2.32,4,0,21.9,3.69,4.16
11,2371,1779,592,250,977,552,192944,13450,127612,51882,152115,31685,9144,136.5469365,414.8886675,325.9189189,434.3590574,183.8300295,427.7611182,0.8342,27939.2348,25.047,315,5498,578,863,578,299,171,108,357,157,64,100,5498,1322,591,0,62.68,5.27,6.96,0,62.68,5.67,7.69,0,25.96,4.38,4.82
12,2415,1610,805,215,902,493,61646,5911,42336,13399,49364,10138,2144,47.24968944,243.3991247,76.57888199,99.40746339,57.02608696,207.3174533,0.1758,17554.8292,8.2965,326,2988,679,826,679,440,147,92,554,103,22,100,2988,975,797,0,29.41,2.61,3.99,0,29.41,1.98,3.79,0,23.18,3.38,4.1
13,2710,2033,677,291,1143,599,96987,10396,64269,22322,70867,19218,6902,63.94933596,244.2546728,143.2599705,199.5838368,83.76236162,236.4025625,0.4312,18870.572,10.6095,260,3931,629,880,629,394,145,90,428,151,50,100,3931,1222,673,0,40.77,3.2,4.64,0,40.77,3.06,4.8,0,26.07,3.44,4.32
14,2845,2134,711,298,1215,621,124083,12107,85695,26281,82302,29253,12528,83.59512652,395.2866696,174.5189873,314.5886415,106.3181019,378.7940438,0.6336,20813.8976,18.2598,347,4159,664,961,664,392,176,96,429,173,62,100,4159,1401,708,0,38.28,3.66,4.96,0,36.85,3.44,4.89,0,38.28,4.1,5.07
15,2944,2208,736,295,1272,641,130014,13231,85446,31337,97934,25757,6323,76.27581522,323.6317569,176.6494565,257.202349,101.3692255,311.4168193,0.5845,32770.2075,22.6763,327,5119,692,1010,692,417,180,95,445,176,71,100,5119,1523,734,0,51.61,5.24,7.02,0,51.61,5.43,7.51,0,39.92,4.86,5.87
16,3051,2289,762,334,1258,697,343458,21231,233116,89111,244338,75005,24115,203.8851027,631.5779765,450.7322835,594.8403471,265.5362176,631.7083461,1.5476,36771.8979,60.1814,320,9084,739,1171,739,415,203,121,412,222,105,100,9340,1711,762,0,65.51,5.28,7.11,0,65.51,5.28,7.79,0,25.13,5.27,5.28
17,3145,2359,786,325,1314,720,246725,15033,175884,55808,186144,46980,13601,136.0351844,431.8928508,313.8994911,432.7512038,180.4871224,438.9161154,1.0243,35510.1134,59.3183,440,7189,761,1093,761,412,236,113,503,184,74,100,7189,1672,785,0,52.72,5.34,7.11,0,52.72,5.68,7.88,0,44.82,4.63,5.04
18,3358,2519,839,362,1417,740,336085,19271,253394,63420,225379,78075,32631,190.3223501,912.1948639,400.5780691,592.3052364,242.8549732,848.6095948,1.5537,39585.0024,33.1073,216,7339,810,1241,810,417,248,145,473,243,94,100,7339,1829,838,0,59.26,5.45,7.25,0,59.26,5.36,7.91,0,26.75,5.65,5.53
19,3389,2260,1129,328,1271,661,121166,12798,79628,28740,90956,21614,8596,70.7840708,275.9392445,107.3215235,148.5277447,82.95603423,241.7071699,0.469,26500.594,24.4613,272,5949,957,1221,957,634,203,120,732,186,39,100,5949,1523,1110,0,32.33,3.07,4.51,0,31,2.43,4.28,0,32.33,3.94,4.68
20,3465,2310,1155,320,1319,671,403094,30493,294095,78506,272913,98929,31252,244.3839827,703.9492456,348.9991342,415.548201,279.2556999,624.7841249,2.5539,33232.5982,60.0116,266,9598,1066,1590,1066,691,244,131,665,278,123,100,10208,1918,1155,0,34.53,3.51,4.96,0,34,2.26,4.22,0,34.53,5.6,5.39
21,3744,2496,1248,340,1387,769,241009,26102,162994,51913,172378,50252,18379,131.4178686,502.3498042,193.1161859,266.6125108,151.9839744,439.0636517,1.3965,32848.5819,60.0929,366,8077,1107,1543,1107,756,214,137,751,276,80,100,10044,1938,1242,0,40.33,3.48,4.85,0,39.84,2.51,4.44,0,40.33,5,5.08
22,3867,2578,1289,321,1433,824,154763,17196,102322,35245,115514,30120,9129,78.79790535,313.3610296,120.064391,172.941825,92.55340057,275.3388376,0.7169,31233.1006,47.9731,429,6433,1096,1460,1096,745,231,120,801,226,69,100,6433,1733,1279,0,46.16,2.88,4.44,0,46.16,1.98,4.05,0,27.68,4.1,4.65
23,3986,2990,996,393,1661,936,244051,23805,160445,59801,177733,50607,15711,109.0568562,355.8803105,245.0311245,383.1519014,143.0333668,367.6308491,1.4206,46940.5196,60.0708,342,8510,944,1448,944,557,245,142,557,270,117,100,8859,2188,996,0,48.39,5.36,7.17,0,48.39,5.57,7.79,0,35.65,4.9,5.55
