ID,num_users,num_riders,num_drivers,num_SR,num_RT,num_TR,feas_time,feas_matches,feas_SR,feas_RT,feas_TR,feas_1,feas_2,feas_3,gap,opt_obj,t_model,opt_time,opt_matched_r,opt_matched_d,opt_matches,opt_SR,opt_RT,opt_TR,opt_1,opt_2,opt_3
17,3145,2359,786,325,1314,720,1.0441,246725,15033,175884,55808,186144,46980,13601,-2,0,9.1139,369.4802,0,0,0,0,0,0,0,0,0
19,3389,2260,1129,328,1271,661,0.5036,121166,12798,79628,28740,90956,21614,8596,0,27673.97,2.6237,99.7182,1309,1052,1052,694,222,136,819,209,24
21,3744,2496,1248,340,1387,769,1.3621,241009,26102,162994,51913,172378,50252,18379,-1,0,9.624,36.3072,0,0,0,0,0,0,0,0,0
22,3867,2578,1289,321,1433,824,0.707,154763,17196,102322,35245,115514,30120,9129,-1,0,3.6905,51.0389,0,0,0,0,0,0,0,0,0
