station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
284,9,2584,0,0,25.1246,11.0767,13.3166,0.0,0.0,1304,1739.0,0.0,0.0,7.11,11.31,0.0,0.0,50,506.0,0.0,0.0,one,TR,1
0,4134,5068,4192,358,98.5745,37.4202,18.2744,21.1217,18.2531,2110,1382.0,1789.0,1381.0,-9.39,11.08,12.91,11.07,155,0.0,112.0,0.0,many,SR,3
0,4151,8165,0,0,35.0474,17.4281,16.1916,0.0,0.0,1585,1446.0,0.0,0.0,3.79,14.28,0.0,0.0,108,0.0,0.0,0.0,one,SR,1
0,56,4933,0,0,21.5883,11.4577,9.1815,0.0,0.0,1101,771.0,0.0,0.0,3.02,9.49,0.0,0.0,89,0.0,0.0,0.0,one,SR,1
0,67,7638,6072,0,52.4881,20.826,17.0475,12.7182,0.0,1434,1326.0,911.0,0.0,-2.01,10.56,8.41,0.0,118,35.0,0.0,0.0,many,SR,2
0,70,9123,2284,0,43.8673,17.5748,12.6238,12.0245,0.0,1358,905.0,853.0,0.0,-0.54,8.37,8.08,0.0,153,1.0,0.0,0.0,many,SR,2
0,4168,8940,1933,0,39.6155,14.6471,10.598,12.7851,0.0,1283,748.0,917.0,0.0,-0.8,7.41,8.44,0.0,264,12.0,0.0,0.0,many,SR,2
0,77,4477,0,0,42.9414,22.5501,18.7543,0.0,0.0,1947,1713.0,0.0,0.0,5.71,16.37,0.0,0.0,16,0.0,0.0,0.0,one,SR,1
0,4192,3011,1584,0,85.9652,35.6021,32.6099,14.8731,0.0,3194,2779.0,1119.0,0.0,7.62,19.32,9.48,0.0,193,84.0,18.0,0.0,many,SR,2
0,4195,9277,0,0,55.3628,27.0784,26.0532,0.0,0.0,3102,2471.0,0.0,0.0,12.49,22.31,0.0,0.0,315,0.0,0.0,0.0,one,SR,1
0,4219,4137,1717,0,48.611,19.0507,14.0672,13.6992,0.0,1352,1026.0,996.0,0.0,-1.95,9.06,8.88,0.0,145,0.0,1.0,0.0,many,SR,2
0,4254,9092,9091,0,70.698,25.1723,21.4786,21.4786,0.0,2740,1667.0,1667.0,0.0,5.65,12.84,12.84,0.0,497,0.0,0.0,0.0,many,SR,2
184,4258,7899,4506,0,63.2979,17.3093,25.4345,19.1043,0.0,1488,2136.0,1789.0,0.0,2.58,10.22,10.28,0.0,103,317.0,327.0,0.0,many,TR,2
0,4262,6536,0,0,25.8381,14.5711,10.2458,0.0,0.0,1318,873.0,0.0,0.0,4.65,10.21,0.0,0.0,6,0.0,0.0,0.0,one,SR,1
0,4282,9214,0,0,24.6834,12.7984,10.8242,0.0,0.0,1395,929.0,0.0,0.0,5.1,10.61,0.0,0.0,136,0.0,0.0,0.0,one,SR,1
0,199,3101,0,0,49.1569,23.7203,23.4194,0.0,0.0,2999,2198.0,0.0,0.0,13.33,20.17,0.0,0.0,368,0.0,0.0,0.0,one,SR,1
4,4311,9630,6238,4649,147.2212,29.2182,36.2691,28.7983,50.5154,2643,2945.0,2513.0,2815.0,5.97,14.99,11.11,12.11,190,249.0,425.0,-381.0,many,TR,3
0,216,6353,0,0,34.8486,16.8603,16.5324,0.0,0.0,1683,1482.0,0.0,0.0,4.57,14.56,0.0,0.0,173,0.0,0.0,0.0,one,SR,1
0,224,2411,1955,0,44.9374,19.9025,12.5897,10.8543,0.0,1474,938.0,753.0,0.0,1.16,8.4,7.51,0.0,30,28.0,0.0,0.0,many,SR,2
0,4324,347,0,0,24.8919,14.1116,9.7902,0.0,0.0,1438,829.0,0.0,0.0,6.19,9.9,0.0,0.0,42,0.0,0.0,0.0,one,SR,1
0,4367,1229,0,0,24.981,12.1855,11.6767,0.0,0.0,1357,1011.0,0.0,0.0,4.18,11.19,0.0,0.0,188,0.0,0.0,0.0,one,SR,1
0,277,5181,5180,0,45.4715,17.9984,12.8875,12.8875,0.0,1175,926.0,926.0,0.0,-2.95,8.49,8.49,0.0,116,0.0,0.0,0.0,many,SR,2
0,4390,8498,7616,0,49.7527,21.3728,13.2963,13.3396,0.0,2549,994.0,964.0,0.0,11.07,8.73,8.71,0.0,263,25.0,0.0,0.0,many,SR,2
9,313,3669,3456,0,68.0041,16.9234,26.1676,23.4067,0.0,1421,2698.0,2026.0,0.0,1.36,11.8,10.26,0.0,136,664.0,320.0,0.0,many,RT,2
265,4435,5952,0,0,28.6124,12.1631,15.5136,0.0,0.0,1082,1574.0,0.0,0.0,2.94,12.36,0.0,0.0,41,223.0,0.0,0.0,one,TR,1
