station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
0,2053,9626,0,0,70.6457,39.4756,28.7217,0.0,0.0,4311,2748.0,0.0,0.0,23.23,24.48,0.0,0.0,28,0.0,0.0,0.0,one,SR,1
0,4105,1619,0,0,31.5988,16.5547,13.7826,0.0,0.0,1795,1213.0,0.0,0.0,7.49,12.62,0.0,0.0,121,0.0,0.0,0.0,one,SR,1
0,2061,5924,0,0,23.7068,13.9334,8.8469,0.0,0.0,1654,739.0,0.0,0.0,9.03,9.26,0.0,0.0,69,0.0,0.0,0.0,one,SR,1
88,15,7194,5129,3947,74.0672,22.0598,16.2963,17.1376,17.2273,2495,1732.0,1951.0,1666.0,14.08,7.43,8.49,8.54,24,542.0,631.0,395.0,many,RT,3
0,20,7072,5752,0,56.7281,26.3855,14.1064,14.4066,0.0,2523,1029.0,1057.0,0.0,10.02,9.07,9.22,0.0,32,0.0,2.0,0.0,many,SR,2
234,4115,9381,7725,0,67.541,12.2983,19.6072,34.8004,0.0,1300,1995.0,3028.0,0.0,6.13,7.23,9.12,0.0,34,611.0,655.0,0.0,many,TR,2
0,28,5769,2959,0,64.7402,28.2528,17.2051,17.1691,0.0,2274,1292.0,1302.0,0.0,4.86,10.57,10.57,0.0,13,0.0,10.0,0.0,many,SR,2
0,32,5504,0,0,48.075,23.4741,22.6473,0.0,0.0,3140,2117.0,0.0,0.0,15.39,19.54,0.0,0.0,382,0.0,0.0,0.0,one,SR,1
35,2086,3378,0,0,24.6552,10.4586,13.5953,0.0,0.0,1211,1327.0,0.0,0.0,7.3,9.01,0.0,0.0,0,267.0,0.0,0.0,one,RT,1
0,4142,8766,0,0,31.849,15.8278,14.6975,0.0,0.0,1597,1301.0,0.0,0.0,4.85,13.24,0.0,0.0,146,0.0,0.0,0.0,one,SR,1
0,48,3796,0,0,31.8262,16.0791,14.4403,0.0,0.0,1895,1277.0,0.0,0.0,8.14,13.07,0.0,0.0,190,0.0,0.0,0.0,one,SR,1
260,2099,5398,2672,0,93.1171,19.8235,26.8852,44.8701,0.0,1465,2672.0,3326.0,0.0,1.54,11.01,13.37,0.0,7,646.0,234.0,0.0,many,RT,2
0,4175,1328,0,0,26.8448,14.7212,11.0472,0.0,0.0,1624,951.0,0.0,0.0,7.36,10.76,0.0,0.0,92,0.0,0.0,0.0,one,SR,1
0,4186,1719,0,0,38.3344,21.6231,15.343,0.0,0.0,2237,1364.0,0.0,0.0,11.17,13.68,0.0,0.0,1,0.0,0.0,0.0,one,SR,1
0,4196,7718,0,0,38.184,17.5873,18.9448,0.0,0.0,2085,1732.0,0.0,0.0,7.03,16.52,0.0,0.0,317,0.0,0.0,0.0,one,SR,1
203,114,3231,629,0,47.4694,14.4739,14.0471,17.9285,0.0,1401,1375.0,1909.0,0.0,5.53,7.24,7.96,0.0,29,367.0,585.0,0.0,many,TR,2
0,127,5397,0,0,28.03,14.7478,12.1323,0.0,0.0,1055,1055.0,0.0,0.0,0.73,11.5,0.0,0.0,0,0.0,0.0,0.0,one,SR,1
0,136,6622,0,0,26.5493,13.0894,12.2986,0.0,0.0,1346,1071.0,0.0,0.0,3.68,11.61,0.0,0.0,158,0.0,0.0,0.0,one,SR,1
0,2210,3072,81,0,54.7995,22.5613,12.1896,18.1265,0.0,2183,867.0,1408.0,0.0,5.62,8.16,11.06,0.0,204,0.0,28.0,0.0,many,SR,2
0,164,482,0,0,32.1033,14.9422,15.7645,0.0,0.0,1594,1404.0,0.0,0.0,4.17,13.97,0.0,0.0,227,0.0,0.0,0.0,one,SR,1
181,166,3818,1262,0,47.425,11.3772,19.5917,15.3437,0.0,1343,1442.0,1822.0,0.0,4.09,8.66,8.47,0.0,225,99.0,611.0,0.0,many,RT,2
0,2214,597,596,0,88.0224,32.2298,26.338,26.338,0.0,2639,2102.0,2102.0,0.0,-0.34,15.58,15.58,0.0,362,0.0,0.0,0.0,many,SR,2
0,176,6536,0,0,23.5169,12.2499,10.2458,0.0,0.0,1167,873.0,0.0,0.0,3.06,10.21,0.0,0.0,96,0.0,0.0,0.0,one,SR,1
0,2230,1312,0,0,38.5471,20.7377,16.3669,0.0,0.0,2320,1465.0,0.0,0.0,11.38,14.43,0.0,0.0,102,0.0,0.0,0.0,one,SR,1
42,2242,185,0,0,20.6555,8.1799,11.7315,0.0,0.0,1294,1516.0,0.0,0.0,6.89,10.44,0.0,0.0,208,440.0,0.0,0.0,one,RT,1
0,4319,4630,0,0,37.659,19.3111,16.8654,0.0,0.0,2321,1516.0,0.0,0.0,11.03,14.83,0.0,0.0,197,0.0,0.0,0.0,one,SR,1
0,2276,4802,774,0,60.5142,23.5566,17.1537,17.6709,0.0,1451,1287.0,1333.0,0.0,-3.96,10.54,10.79,0.0,90,0.0,1.0,0.0,many,SR,2
0,4351,6088,0,0,48.2473,23.5896,22.6993,0.0,0.0,2709,2123.0,0.0,0.0,10.82,19.58,0.0,0.0,283,0.0,0.0,0.0,one,SR,1
252,4355,6865,0,0,33.6831,8.5512,24.624,0.0,0.0,1145,2736.0,0.0,0.0,7.45,9.08,0.0,0.0,42,892.0,0.0,0.0,one,TR,1
0,2314,4277,0,0,29.3587,15.179,12.9725,0.0,0.0,1856,1136.0,0.0,0.0,8.62,12.07,0.0,0.0,182,0.0,0.0,0.0,one,SR,1
233,274,9079,5458,0,54.55,11.9448,21.5237,20.1971,0.0,1182,1506.0,2201.0,0.0,4.45,7.35,7.49,0.0,50,122.0,738.0,0.0,many,RT,2
0,2327,6112,0,0,26.2464,13.8617,11.2921,0.0,0.0,1168,974.0,0.0,0.0,2.43,10.93,0.0,0.0,45,0.0,0.0,0.0,one,SR,1
0,2331,5684,0,0,46.8883,22.5324,22.4201,0.0,0.0,2284,2094.0,0.0,0.0,6.56,19.36,0.0,0.0,234,0.0,0.0,0.0,one,SR,1
0,4411,2176,0,0,37.69,19.9762,16.2783,0.0,0.0,1882,1456.0,0.0,0.0,6.84,14.36,0.0,0.0,42,0.0,0.0,0.0,one,SR,1
0,2371,8212,0,0,28.3064,14.693,12.4423,0.0,0.0,1697,1085.0,0.0,0.0,7.28,11.71,0.0,0.0,155,0.0,0.0,0.0,one,SR,1
0,4436,4408,0,0,40.4489,20.4352,18.4057,0.0,0.0,2081,1676.0,0.0,0.0,7.38,16.08,0.0,0.0,144,0.0,0.0,0.0,one,SR,1
0,343,6753,1683,0,39.6493,16.0767,11.0083,11.0392,0.0,1354,810.0,769.0,0.0,0.49,7.65,7.6,0.0,175,32.0,0.0,0.0,many,SR,2
0,356,1933,823,0,66.138,27.2849,12.7851,23.7968,0.0,1975,917.0,1946.0,0.0,0.3,8.44,14.27,0.0,74,0.0,52.0,0.0,many,SR,2
0,390,3993,0,0,25.7758,13.5929,11.103,0.0,0.0,1300,956.0,0.0,0.0,3.93,10.8,0.0,0.0,82,0.0,0.0,0.0,one,SR,1
0,417,8726,0,0,26.9541,14.6636,11.2042,0.0,0.0,1521,965.0,0.0,0.0,6.19,10.86,0.0,0.0,77,0.0,0.0,0.0,one,SR,1
260,2467,9573,0,0,32.6259,16.6881,15.0778,0.0,0.0,2143,2064.0,0.0,0.0,14.76,11.6,0.0,0.0,-1,674.0,0.0,0.0,one,RT,1
0,4520,7974,265,0,52.8261,21.6258,12.671,16.6384,0.0,2158,907.0,1403.0,0.0,5.64,8.38,10.53,0.0,233,0.0,118.0,0.0,many,SR,2
0,4532,9868,0,0,25.3548,13.8121,10.5038,0.0,0.0,1315,898.0,0.0,0.0,4.46,10.39,0.0,0.0,54,0.0,0.0,0.0,one,SR,1
0,440,2778,0,0,23.3745,13.281,9.1465,0.0,0.0,1443,768.0,0.0,0.0,6.63,9.47,0.0,0.0,67,0.0,0.0,0.0,one,SR,1
0,2507,9195,0,0,49.1857,23.8011,23.3713,0.0,0.0,2619,2193.0,0.0,0.0,9.38,20.13,0.0,0.0,278,0.0,0.0,0.0,one,SR,1
0,2515,7706,0,0,25.6609,13.9054,10.7032,0.0,0.0,1615,917.0,0.0,0.0,7.49,10.52,0.0,0.0,122,0.0,0.0,0.0,one,SR,1
0,4571,1234,0,0,44.5435,19.5384,23.0208,0.0,0.0,2589,2156.0,0.0,0.0,9.33,19.84,0.0,0.0,484,0.0,0.0,0.0,one,SR,1
0,2530,8202,0,0,23.332,10.9768,11.2647,0.0,0.0,1290,971.0,0.0,0.0,3.73,10.9,0.0,0.0,224,0.0,0.0,0.0,one,SR,1
0,4580,7579,6937,0,59.3484,23.4743,12.5091,21.2458,0.0,1783,990.0,1664.0,0.0,-0.35,8.45,12.74,0.0,161,71.0,13.0,0.0,many,SR,2
0,2537,4921,0,0,40.8504,22.1352,17.2044,0.0,0.0,2279,1552.0,0.0,0.0,10.33,15.11,0.0,0.0,51,0.0,0.0,0.0,one,SR,1
0,495,6810,5483,0,43.1375,16.0105,12.7224,12.7224,0.0,1365,912.0,912.0,0.0,-0.81,8.41,8.41,0.0,256,0.0,0.0,0.0,many,SR,2
197,4606,8828,0,0,27.8238,10.0993,17.1734,0.0,0.0,1640,1654.0,0.0,0.0,12.26,8.51,0.0,0.0,90,389.0,0.0,0.0,one,RT,1
0,2574,3317,0,0,26.0833,14.5816,10.465,0.0,0.0,1354,895.0,0.0,0.0,4.89,10.37,0.0,0.0,21,0.0,0.0,0.0,one,SR,1
152,2590,3685,3684,0,93.2018,23.1428,33.8694,33.8694,0.0,2400,3645.0,3645.0,0.0,4.32,15.6,15.6,0.0,411,897.0,897.0,0.0,many,RT,2
0,2596,966,0,0,64.9287,32.6304,29.7652,0.0,0.0,3149,2856.0,0.0,0.0,10.27,25.33,0.0,0.0,175,0.0,0.0,0.0,one,SR,1
92,4654,4795,0,0,40.9863,14.8462,25.1429,0.0,0.0,1590,1868.0,0.0,0.0,7.72,12.97,0.0,0.0,40,-13.0,0.0,0.0,one,RT,1
0,573,5264,0,0,21.2846,10.8913,9.4272,0.0,0.0,1759,795.0,0.0,0.0,9.77,9.66,0.0,0.0,273,0.0,0.0,0.0,one,SR,1
136,4686,7630,2159,0,76.024,22.8938,23.8764,27.5903,0.0,1982,2067.0,2590.0,0.0,5.84,11.27,12.37,0.0,18,285.0,485.0,0.0,many,RT,2
25,4688,9675,4769,4289,106.845,22.8841,19.8691,29.8365,32.4548,2426,2280.0,1875.0,2378.0,9.27,10.0,10.0,10.0,182,701.0,-87.0,198.0,many,TR,3
0,4690,9486,0,0,30.0893,14.568,14.2286,0.0,0.0,1769,1257.0,0.0,0.0,6.94,12.93,0.0,0.0,236,0.0,0.0,0.0,one,SR,1
0,4698,4046,0,0,43.7656,22.9001,19.1932,0.0,0.0,2209,1758.0,0.0,0.0,8.14,16.72,0.0,0.0,72,0.0,0.0,0.0,one,SR,1
0,2661,8699,0,0,23.011,12.9489,9.1172,0.0,0.0,1216,765.0,0.0,0.0,4.26,9.45,0.0,0.0,33,0.0,0.0,0.0,one,SR,1
0,2676,4395,0,0,43.952,20.7044,21.3958,0.0,0.0,2323,1987.0,0.0,0.0,7.73,18.52,0.0,0.0,300,0.0,0.0,0.0,one,SR,1
0,4723,9060,0,0,26.8156,12.3082,13.2797,0.0,0.0,1459,1165.0,0.0,0.0,4.27,12.28,0.0,0.0,256,0.0,0.0,0.0,one,SR,1
238,4732,958,0,0,43.3596,18.5381,23.6801,0.0,0.0,2000,3005.0,0.0,0.0,10.73,15.41,0.0,0.0,4,860.0,0.0,0.0,one,RT,1
0,648,7301,0,0,52.433,26.8658,23.5406,0.0,0.0,2807,2210.0,0.0,0.0,11.23,20.27,0.0,0.0,163,0.0,0.0,0.0,one,SR,1
0,2700,9509,0,0,41.8519,23.2115,17.1351,0.0,0.0,2400,1545.0,0.0,0.0,11.65,15.05,0.0,0.0,18,0.0,0.0,0.0,one,SR,1
0,2701,7231,4366,0,73.8694,28.5036,22.7792,19.988,0.0,2026,2026.0,1533.0,0.0,-2.11,13.99,12.0,0.0,177,177.0,0.0,0.0,many,SR,2
0,666,5234,2807,0,44.1929,18.7233,11.9362,11.9278,0.0,1445,844.0,844.0,0.0,0.72,8.03,8.03,0.0,93,-1.0,0.0,0.0,many,SR,2
0,4783,1901,1900,0,66.6672,28.8257,17.8341,17.8341,0.0,2806,1345.0,1345.0,0.0,9.9,10.87,10.87,0.0,129,0.0,0.0,0.0,many,SR,2
0,4787,9553,6175,0,73.3716,28.0316,20.5649,22.2162,0.0,2351,1585.0,1737.0,0.0,1.65,12.33,13.26,0.0,255,0.0,3.0,0.0,many,SR,2
0,695,9097,0,0,42.7557,26.7865,14.6483,0.0,0.0,3574,1297.0,0.0,0.0,25.64,13.21,0.0,0.0,0,0.0,0.0,0.0,one,SR,1
0,705,8745,8058,0,43.1065,15.7701,12.8212,12.8011,0.0,1334,1076.0,919.0,0.0,-1.42,8.69,8.45,0.0,277,115.0,0.0,0.0,many,SR,2
0,706,5001,0,0,44.7055,22.4233,20.5025,0.0,0.0,2559,1895.0,0.0,0.0,10.85,17.8,0.0,0.0,226,0.0,0.0,0.0,one,SR,1
0,4851,301,0,0,28.0694,13.5639,13.2778,0.0,0.0,1777,1165.0,0.0,0.0,7.61,12.28,0.0,0.0,260,0.0,0.0,0.0,one,SR,1
0,2813,3164,0,0,26.0402,14.1609,10.8185,0.0,0.0,1545,929.0,0.0,0.0,6.68,10.61,0.0,0.0,97,0.0,0.0,0.0,one,SR,1
0,769,9052,0,0,34.8617,15.661,17.653,0.0,0.0,2011,1599.0,0.0,0.0,7.19,15.48,0.0,0.0,353,0.0,0.0,0.0,one,SR,1
0,2822,3900,1815,0,74.9083,30.181,17.8032,24.3821,0.0,2268,1363.0,1961.0,0.0,0.94,10.88,14.54,0.0,114,15.0,25.0,0.0,many,SR,2
262,2836,7240,3785,0,64.1133,13.7971,26.8219,22.0752,0.0,2120,2544.0,2692.0,0.0,9.49,11.1,11.1,0.0,415,542.0,881.0,0.0,many,TR,2
88,4891,8890,8889,0,100.0804,18.5317,39.7558,39.7558,0.0,1582,3064.0,3064.0,0.0,-1.72,15.19,15.19,0.0,340,175.0,175.0,0.0,many,TR,2
0,4893,4722,1765,0,42.7141,16.7019,12.4402,11.9046,0.0,1261,1144.0,843.0,0.0,-1.77,8.65,8.02,0.0,189,189.0,0.0,0.0,many,SR,2
