id num,id,time1,time2,org_lon,org_lat,des_lon,des_lat,newt1,newt2,distance,drive time,org_sta,org_dis,org_time,des_sta,des_dis,des_time
14669,cf9c023d04941f6f1527a797417dd1be,1478046091,1478047379,104.058411,30.722824,104.09847,30.6629,30091,31379,9991,1427,39.0,187.0,187.0,252.0,499.0,499.0
14670,f126e3105259d8405561e01a6b18e2dd,1478044560,1478045502,104.09887,30.68721,104.05378,30.73036,28560,29502,8385,1197,120.0,625.0,625.0,164.0,570.0,570.0
14671,bee0118c580839788e7da43a405e9043,1478044327,1478045580,104.039499,30.69808,104.0711,30.669320000000006,28327,29580,5719,817,72.0,267.0,267.0,234.0,600.0,600.0
14672,113684b44651943537b84f81e503de08,1478046044,1478047500,104.06211,30.67083,104.07629,30.629690000000004,30044,31500,6202,886,140.0,761.0,761.0,21.0,656.0,656.0
14673,bee0118c580839788e7da43a405e9043,1478044327,1478045580,104.039499,30.69808,104.0711,30.669320000000006,28327,29580,5719,817,72.0,267.0,267.0,234.0,600.0,600.0
14674,b4013c2b8371b469edea43a222c38723,1478043209,1478044961,104.10903,30.67067,104.06625,30.61838,27209,28961,9243,1320,88.0,1267.0,1267.0,224.0,456.0,456.0
14675,2ed0d330adb3b23b366ac0c2d8b70fe7,1478044038,1478045750,104.084961,30.693235,103.99756,30.64925,28038,29750,12590,1798,208.0,1090.0,1090.0,134.0,1393.0,1393.0
14676,2156dba26e6f98348b3569f12380f8e0,1478043790,1478045998,104.02996,30.63145,104.08578,30.79216,27790,29998,24244,3463,64.0,470.0,470.0,6.0,424.0,424.0
14677,2156dba26e6f98348b3569f12380f8e0,1478043790,1478045998,104.02996,30.63145,104.08578,30.79216,27790,29998,24244,3463,64.0,470.0,470.0,6.0,424.0,424.0
14678,7ac8c4142967dcb5977717d7a3d220f0,1478044639,1478046116,104.031315,30.641551,104.06944,30.66708,28639,30116,6007,858,64.0,1005.0,1005.0,140.0,482.0,482.0
14679,eaeb160901ed2685f836c3b23e1cfc11,1478046205,1478047896,104.066922,30.667384,104.14679,30.7551,30205,31896,16102,2300,140.0,205.0,205.0,278.0,3383.0,3383.0
14680,fd5672b258f08b73e48dd23b2c497f16,1478046717,1478048318,104.053122,30.591175,104.08783,30.66801,30717,32318,11916,1702,193.0,419.0,419.0,66.0,571.0,571.0
14681,bc47c2c94c8944e514020971af9171b8,1478043425,1478044908,104.04659,30.71494,104.078007,30.79615,27425,28908,12370,1767,92.0,1304.0,1304.0,6.0,1544.0,1544.0
14682,49f472db4f0f4b11e4a2bfb32bd2a803,1478045281,1478048556,104.079285,30.789326000000006,104.04522,30.69341,29281,32556,14496,2070,6.0,1228.0,1228.0,248.0,563.0,563.0
14683,49f472db4f0f4b11e4a2bfb32bd2a803,1478045281,1478048556,104.079285,30.789326000000006,104.04522,30.69341,29281,32556,14496,2070,6.0,1228.0,1228.0,248.0,563.0,563.0
14684,e9c42e8e89009af7dab3df00b4c885fc,1478047011,1478048711,104.12301,30.63023,104.0733,30.68471,31011,32711,10011,1430,210.0,111.0,111.0,165.0,35.0,35.0
14685,690c0d2f30e75d62bc8ffb42ef6a3d11,1478043711,1478046297,104.045227,30.708862,104.14162,30.62869,27711,30297,16671,2381,257.0,956.0,956.0,14.0,182.0,182.0
14686,e9c42e8e89009af7dab3df00b4c885fc,1478047011,1478048711,104.12301,30.63023,104.0733,30.68471,31011,32711,10011,1430,210.0,111.0,111.0,165.0,35.0,35.0
14687,690c0d2f30e75d62bc8ffb42ef6a3d11,1478043711,1478046297,104.045227,30.708862,104.14162,30.62869,27711,30297,16671,2381,257.0,956.0,956.0,14.0,182.0,182.0
14688,ac1e744fd0e3596fbbd798a06e2032e9,1478047494,1478048533,104.106033,30.666731,104.06538,30.66923,31494,32533,5067,723,252.0,813.0,813.0,140.0,393.0,393.0
14689,76b38e8cb930ef161f3b7751183adb95,1478046141,1478047213,104.153059,30.682689,104.10151,30.67333,30141,31213,6549,935,184.0,1193.0,1193.0,88.0,470.0,470.0
14690,ac1e744fd0e3596fbbd798a06e2032e9,1478047494,1478048533,104.106033,30.666731,104.06538,30.66923,31494,32533,5067,723,252.0,813.0,813.0,140.0,393.0,393.0
14691,d439394810198a86ea37b6b54201fec0,1478047177,1478048768,104.150972,30.603017,104.08902,30.69233,31177,32768,15034,2147,67.0,863.0,863.0,208.0,705.0,705.0
14692,b4baaa1578df138473265e2fb3a404ef,1478048906,1478049824,104.087883,30.693587,104.14162,30.62869,32906,33824,11517,1645,208.0,731.0,731.0,14.0,182.0,182.0
14693,d439394810198a86ea37b6b54201fec0,1478047177,1478048768,104.150972,30.603017,104.08902,30.69233,31177,32768,15034,2147,67.0,863.0,863.0,208.0,705.0,705.0
14694,d797497c868b9bb7b3b73d267300db95,1478044176,1478045440,104.0403,30.68327,104.05406,30.760990000000003,28176,29440,11364,1623,49.0,889.0,889.0,186.0,716.0,716.0
14695,820a0d3eb5a82a5e42bf5f00cc236529,1478046518,1478047599,104.053902,30.765751,104.01121,30.70803,30518,31599,9887,1412,186.0,1075.0,1075.0,11.0,427.0,427.0
14696,1a422b79b7dc10a98b4b8e647cb10d11,1478047555,1478049495,103.99668,30.675890000000006,104.06611,30.63917,31555,33495,10134,1447,162.0,258.0,258.0,75.0,528.0,528.0
14697,4241228fbe1b6750c9605ff398ab3820,1478048125,1478049520,103.94631,30.66252,104.04534,30.69366,32125,33520,13108,1872,8.0,1016.0,1016.0,248.0,535.0,535.0
14698,73efaa404f8ceac6f37d0322bade3f05,1478046429,1478047756,104.09498,30.6386,104.06576,30.6686,30429,31756,5657,808,205.0,501.0,501.0,140.0,302.0,302.0
14699,00a260c844547a0a7a3d9b078a103ad0,1478048746,1478050129,104.05264,30.67274,104.00543,30.7167,32746,34129,8649,1235,117.0,1091.0,1091.0,95.0,605.0,605.0
14700,e63bf79c7fe27530440730224e80d597,1478044964,1478047371,104.12009,30.61631,104.08511,30.68237,28964,31371,10493,1499,183.0,527.0,527.0,124.0,220.0,220.0
14701,28316614bc0d0df80c561831dd762f91,1478046129,1478046975,104.06221,30.71302,104.00683,30.70631,30129,30975,6950,992,48.0,368.0,368.0,11.0,854.0,854.0
14702,b5481259a786d2c1c71c5bc4b4f331fa,1478047936,1478049073,104.01606,30.6978,104.06952,30.66231,31936,33073,8395,1199,263.0,703.0,703.0,140.0,777.0,777.0
14703,19374cc1f01f64cc60f69198107a3526,1478047357,1478048434,104.06206,30.65469,104.04819,30.6968,31357,32434,6326,903,215.0,608.0,608.0,248.0,287.0,287.0
