station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
262,4096,8427,4981,4691,134.2461,25.1879,39.3239,35.8186,31.2274,1918,3266.0,3177.0,3679.0,-4.06,12.48,12.48,14.91,372,483.0,573.0,1078.0,many,RT,3
180,8,9256,0,0,51.0611,17.4855,32.3726,0.0,0.0,1691,3008.0,0.0,0.0,6.93,16.03,0.0,0.0,21,432.0,0.0,0.0,one,TR,1
0,4104,2387,0,0,25.5246,14.3445,10.1645,0.0,0.0,1523,865.0,0.0,0.0,6.85,10.16,0.0,0.0,61,0.0,0.0,0.0,one,SR,1
10,4108,9094,3233,984,85.7906,21.1311,22.297,22.3874,18.0063,1089,1898.0,1750.0,1410.0,-6.28,9.61,9.54,9.54,60,298.0,178.0,106.0,many,RT,3
246,2065,7067,3299,0,52.45,16.656,12.0445,22.4443,0.0,1381,1476.0,1689.0,0.0,2.75,8.57,9.48,0.0,45,479.0,129.0,0.0,many,TR,2
0,2072,3711,0,0,24.2247,13.4777,9.759,0.0,0.0,1127,826.0,0.0,0.0,2.94,9.88,0.0,0.0,6,0.0,0.0,0.0,one,SR,1
0,4131,5392,147,0,61.7989,24.968,17.2887,17.4132,0.0,2031,1315.0,1309.0,0.0,2.16,10.63,10.66,0.0,141,12.0,0.0,0.0,many,SR,2
234,37,5369,1018,976,101.9034,23.2811,20.4807,20.1827,35.616,1338,2037.0,2113.0,3520.0,-7.04,10.28,10.32,13.83,180,463.0,537.0,797.0,many,RT,3
205,49,1299,0,0,25.9792,10.979,14.2349,0.0,0.0,1443,1379.0,0.0,0.0,8.26,9.65,0.0,0.0,102,250.0,0.0,0.0,one,RT,1
0,51,1293,0,0,31.3083,16.2625,13.7835,0.0,0.0,1740,1214.0,0.0,0.0,6.91,12.62,0.0,0.0,125,0.0,0.0,0.0,one,SR,1
161,2111,406,0,0,43.7004,16.9722,25.7884,0.0,0.0,2146,3146.0,0.0,0.0,14.07,13.4,0.0,0.0,23,969.0,0.0,0.0,one,RT,1
0,4172,4774,4773,0,72.8238,30.8173,19.8129,19.8129,0.0,2814,1518.0,1518.0,0.0,8.12,11.9,11.9,0.0,124,0.0,0.0,0.0,many,SR,2
164,80,8785,6446,3553,99.9857,27.1427,20.3284,19.0045,31.2368,2299,1727.0,2182.0,3054.0,3.68,10.52,10.52,11.7,154,209.0,638.0,722.0,many,RT,3
