station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
14,13,5680,5389,956,55.0637,12.9018,15.9762,12.5625,11.8301,1744,2368.0,2050.0,2083.0,2.17,10.94,9.45,9.55,221,560.0,599.0,660.0,many,RT,3
160,14,3902,634,451,49.1283,14.8213,9.1338,11.6847,11.8258,1723,1183.0,1995.0,1942.0,3.13,7.54,8.54,8.54,10,244.0,659.0,611.0,many,TR,3
0,4115,3979,2899,339,48.1307,19.1806,7.8122,10.778,7.8122,1522,766.0,1416.0,766.0,-6.95,7.58,10.31,7.58,256,0.0,169.0,0.0,many,SR,3
266,4119,7739,5052,0,50.5535,11.3982,22.634,15.2321,0.0,1394,2398.0,2532.0,0.0,3.03,10.43,9.47,0.0,14,231.0,812.0,0.0,many,TR,2
0,4143,8454,6560,1585,70.937,29.8813,12.7187,12.5953,12.3978,1432,1432.0,1406.0,1368.0,-15.06,11.27,11.17,11.0,15,15.0,8.0,0.0,many,SR,3
38,50,8599,7314,5804,93.702,23.6719,23.9207,21.5629,21.6234,4297,3151.0,3113.0,3252.0,18.81,13.58,14.06,13.59,180,550.0,629.0,758.0,many,RT,3
25,55,6728,6601,642,94.2866,20.2686,14.0938,32.4669,25.0139,1149,2509.0,3708.0,3545.0,-9.93,11.21,12.97,13.25,118,760.0,520.0,807.0,many,RT,3
0,4151,8165,0,0,22.8682,11.274,10.1666,0.0,0.0,1585,1446.0,0.0,0.0,3.79,14.28,0.0,0.0,108,0.0,0.0,0.0,one,SR,1
0,60,6786,2978,108,58.0237,23.8842,9.157,11.2473,10.8207,1377,1043.0,1259.0,1319.0,-11.77,8.79,10.22,10.14,160,65.0,28.0,102.0,many,SR,3
281,61,8217,3818,1262,49.0847,15.7097,8.663,13.0952,9.7297,2200,1636.0,1435.0,1742.0,6.12,8.92,9.59,9.37,87,537.0,92.0,531.0,many,RT,3
0,4168,7272,2804,1252,49.4869,20.5414,9.0507,9.0239,8.3055,1193,1036.0,1167.0,834.0,-10.56,8.72,8.97,7.96,174,69.0,156.0,2.0,many,SR,3
0,74,6481,6480,0,34.7915,15.1586,8.9719,8.9719,0.0,1202,918.0,918.0,0.0,-2.58,8.45,8.45,0.0,3,0.0,0.0,0.0,many,SR,2
0,84,1349,0,0,22.3708,11.8038,9.246,0.0,0.0,1405,1297.0,0.0,0.0,2.86,13.21,0.0,0.0,6,0.0,0.0,0.0,one,SR,1
0,4191,5382,594,0,46.1546,17.3131,13.4354,13.0236,0.0,2425,1561.0,1608.0,0.0,4.02,11.97,11.85,0.0,282,32.0,98.0,0.0,many,SR,2
0,4217,6516,1257,0,45.1172,18.0755,12.4322,12.4074,0.0,1984,1372.0,1369.0,0.0,1.01,11.02,11.0,0.0,119,0.0,0.0,0.0,many,SR,2
0,4259,7953,2697,0,56.0022,21.4519,15.9926,15.6812,0.0,2357,1875.0,2144.0,0.0,-1.14,14.15,14.61,0.0,303,0.0,196.0,0.0,many,SR,2
0,4261,6080,2667,0,54.8728,20.2186,15.9964,15.8336,0.0,2084,1875.0,1885.0,0.0,-3.54,14.15,14.09,0.0,355,0.0,20.0,0.0,many,SR,2
1,176,7305,4205,2621,57.2775,10.0759,13.6745,16.1307,16.1307,1161,1461.0,2663.0,2663.0,0.8,7.23,9.22,9.22,90,214.0,875.0,875.0,many,RT,3
0,180,5063,0,0,14.7757,7.8683,5.959,0.0,0.0,1138,770.0,0.0,0.0,3.41,9.48,0.0,0.0,46,0.0,0.0,0.0,one,SR,1
0,4280,3174,850,0,35.2243,15.255,9.1764,9.0807,0.0,1729,944.0,932.0,0.0,2.74,8.6,8.52,0.0,11,-1.0,0.0,0.0,many,SR,2
0,4286,8713,5393,925,79.9816,33.6683,17.4533,13.8194,11.2267,2156,2156.0,1618.0,1239.0,-11.69,15.64,12.33,10.17,45,45.0,33.0,16.0,many,SR,3
0,211,9490,6265,0,30.7112,13.3657,7.7779,8.0306,0.0,1288,762.0,825.0,0.0,-0.31,7.56,7.81,0.0,32,0.0,19.0,0.0,many,SR,2
