station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
85,8,8026,0,0,40.3806,10.9153,28.0857,0.0,0.0,1773,4154.0,0.0,0.0,6.2,18.8,0.0,0.0,103,777.0,0.0,0.0,one,TR,1
0,2060,3665,0,0,15.6313,7.3574,7.1863,0.0,0.0,1751,967.0,0.0,0.0,8.6,10.88,0.0,0.0,166,0.0,0.0,0.0,one,SR,1
0,2065,5017,0,0,18.4625,9.7446,7.585,0.0,0.0,1367,1031.0,0.0,0.0,4.16,11.33,0.0,0.0,31,0.0,0.0,0.0,one,SR,1
0,25,442,0,0,15.7308,8.6015,6.1584,0.0,0.0,1244,802.0,0.0,0.0,4.32,9.71,0.0,0.0,10,0.0,0.0,0.0,one,SR,1
0,2074,8099,898,0,33.5125,13.5543,9.1601,9.0853,0.0,1709,946.0,937.0,0.0,2.53,8.59,8.54,0.0,127,2.0,3.0,0.0,many,SR,2
161,29,6464,0,0,34.7061,12.1321,21.1993,0.0,0.0,2749,3563.0,0.0,0.0,16.49,17.75,0.0,0.0,17,781.0,0.0,0.0,one,TR,1
263,33,7912,4048,3005,66.5877,15.8664,16.1872,16.8674,15.6922,1908,1752.0,2220.0,2574.0,2.26,8.71,9.68,11.36,130,207.0,469.0,709.0,many,RT,3
0,2081,7951,7950,0,56.3173,20.2732,16.5564,16.5564,0.0,3805,1955.0,1955.0,0.0,13.57,14.66,14.66,0.0,417,0.0,0.0,0.0,many,SR,2
0,2084,6172,0,0,15.766,8.5515,6.235,0.0,0.0,1066,814.0,0.0,0.0,2.38,9.79,0.0,0.0,18,0.0,0.0,0.0,one,SR,1
0,4133,2504,570,0,37.1225,14.7304,10.2557,10.2557,0.0,1729,1087.0,1087.0,0.0,1.23,9.4,9.4,0.0,150,0.0,0.0,0.0,many,SR,2
0,4134,8751,3322,2284,56.3625,22.4201,14.1962,8.4814,8.3453,2218,1830.0,856.0,883.0,-2.99,13.03,8.09,8.08,263,133.0,1.0,30.0,many,SR,3
0,41,6168,1311,0,42.3913,16.1973,15.509,8.5027,0.0,2137,1807.0,857.0,0.0,2.8,13.72,8.1,0.0,235,0.0,0.0,0.0,many,SR,2
203,2090,9949,3351,0,37.856,9.7739,11.2193,15.6274,0.0,1473,1760.0,2358.0,0.0,4.35,9.17,9.18,0.0,92,471.0,673.0,0.0,many,RT,2
38,47,4585,0,0,23.943,9.2031,13.6261,0.0,0.0,1106,2572.0,0.0,0.0,1.59,15.14,0.0,0.0,56,610.0,0.0,0.0,one,TR,1
263,4145,4650,4649,0,82.6221,16.8513,31.6169,31.6169,0.0,3723,3056.0,3056.0,0.0,16.26,16.68,16.68,0.0,408,-140.0,-140.0,0.0,many,TR,2
0,2101,7806,6271,0,27.0138,10.3532,7.4749,7.7019,0.0,1571,721.0,751.0,0.0,3.14,7.33,7.5,0.0,205,-1.0,-1.0,0.0,many,SR,2
121,4151,2548,0,0,19.936,7.1422,11.9083,0.0,0.0,1534,2278.0,0.0,0.0,8.14,12.85,0.0,0.0,57,615.0,0.0,0.0,one,TR,1
